team,player,status
"Chile","Jorge Delgado","no_image"
"Chile","Benjamín Moreno","no_image"
"Chile","Norman Aguayo","no_image"
"Chile","Javier Carrasco","no_image"
"Chile","Baltazar Gurruchaga","no_image"
"Chile","Iñaki Gurruchaga","no_image"
"Chile","Salvador Lues","no_image"
"Chile","Emiliano Shae","no_image"
"Chile","Santiago Pedrero","no_image"
"Chile","Bruno Sáez","no_image"
"Chile","Augusto Villanueva","no_image"
"Chile","Alfonso Escobar","no_image"
"Chile","Raimundo Martínez","no_image"
"Chile","Joaquin Milesi","no_image"
"Chile","Clemente Saavedra","no_image"
"Chile","Ernesto Tchimino","no_image"
"Chile","Santiago Valenzuela","no_image"
"Chile","Lucas Berti","no_image"
"Chile","Juan Sebastián Bianchi","no_image"
"Chile","Juan Cruz Reyes","no_image"
"Chile","Tomás Salas","no_image"
"Chile","Rodrigo Araya","no_image"
"Chile","Matías Garafulic","no_image"
"Chile","Domingo Saavedra","no_image"
"Chile","Santiago Videla","no_image"
"Chile","Clemente Armstrong","no_image"
"Chile","Cristóbal Game Jiménez","no_image"
"Chile","Federico Kennedy","no_image"
"Chile","Nicolás Saab","no_image"
"Chile","Felipe Méndez","no_image"
"Argentina","Francisco Coria Marchetti","no_image"
"Argentina","Pedro Delgado","no_image"
"Argentina","Tomas Rapetti","no_image"
"Argentina","Mayco Vivas","no_image"
"Argentina","Boris Wenger","no_image"
"Argentina","Efraín Elías","no_image"
"Argentina","Simon Benitez Cruz","no_image"
"Argentina","Agustín Moyano","no_image"
"Argentina","Nicolás Roger","no_image"
"Argentina","Santiago Chocobares","no_image"
"Argentina","Justo Piccardo","no_image"
"Argentina","Mateo Carreras","no_image"
"Argentina","Benjamín Elizalde","no_image"
"Japan","Shodai Hirao","no_image"
"Japan","Shoma Sagawa","no_image"
"Japan","Kenji Sato","no_image"
"Japan","Sho Furuhata","no_image"
"Japan","Sanshiro Kihara","no_image"
"Japan","Kenta Kobayashi","no_image"
"Japan","Shuhei Takeuchi","no_image"
"Japan","Keijiro Tamefusa","no_image"
"Japan","Shohei Ito","no_image"
"Japan","Tyler Paul","no_image"
"Japan","Tiennan Costley","no_image"
"Japan","Faulua Makisi","no_image"
"Japan","Kanji Shimokawa","no_image"
"Japan","David Van Zeeland","no_image"
"Japan","Shu Yamamoto","no_image"
"Japan","Asahi Doei","no_image"
"Japan","Shinobu Fujiwara","no_image"
"Japan","Kenta Fukuda","no_image"
"Japan","Shinya Komura","no_image"
"Japan","Lee Seung-sin","no_image"
"Japan","Yuki Ikeda","no_image"
"Japan","Kippei Ishida","no_image"
"Japan","Tomoki Osada","no_image"
"Japan","Kazuma Ueda","no_image"
"Japan","Yoshitaka Yazaki","no_image"
"Samoa","Sama Malolo","no_image"
"Samoa","Mills Sanerivi","no_image"
"Samoa","Luteru Tolai","no_image"
"Samoa","Tietie Tuimauga","no_image"
"Samoa","Michael Curry","no_image"
"Samoa","Theo McFarland","no_image"
"Samoa","Ben Nee-Nee","no_image"
"Samoa","Miracle Faiʻilagi","no_image"
"Samoa","Iakopo Mapu","no_image"
"Samoa","Alamanda Motuga","no_image"
"Samoa","Joel Lam","no_image"
"Samoa","Lalomilo Lalomilo","no_image"
"Samoa","Tumua Manu","no_image"
"Samoa","Melani Nanai","no_image"
"Samoa","Faletoi Peni","no_image"
"Samoa","Va'a Apelu Maliko","no_image"
"Samoa","Latrell Smiler-Ah Kiong","no_image"
"Samoa","Tuna Tuitama","no_image"
"Uruguay","Germán Kessler","no_image"
"Uruguay","Joaquín Myszka","no_image"
"Uruguay","Sebastián Pérez","no_image"
"Uruguay","Santiago Cagnone","no_image"
"Uruguay","Ignacio Péculo","no_image"
"Uruguay","Mateo Perillo","no_image"
"Uruguay","Reinaldo Piussi","no_image"
"Uruguay","Francisco Suárez","no_image"
"Uruguay","Felipe Aliaga","no_image"
"Uruguay","Ignacio Dotti","no_image"
"Uruguay","Manuel Ardao","no_image"
"Uruguay","Lucas Bianchi","no_image"
"Uruguay","Santiago Civetta","no_image"
"Uruguay","Carlos Deus","no_image"
"Uruguay","Manuel Diana","no_image"
"Uruguay","Manuel Rosmarino","no_image"
"Uruguay","Ícaro Amarillo","no_image"
"Uruguay","Jean Cotarmanac'h","no_image"
"Uruguay","Felipe Etcheverry","no_image"
"Uruguay","Juan Manuel Alonso","no_image"
"Uruguay","Joaquín Suárez","no_image"
"Uruguay","Andrés Vilaseca","no_image"
"Uruguay","Bautista Basso","no_image"
"Uruguay","Justo Ferrario","no_image"
"Uruguay","Francisco Gonzalez Capdevila","no_image"
"Uruguay","Juan Gonzalez","no_image"
"Wales","Liam Belcher","no_image"
"Wales","Evan Lloyd","no_image"
"Wales","Rhys Barratt","no_image"
"Wales","Rhys Carré","no_image"
"Wales","Sam Wainwright","no_image"
"Wales","Ben Warren","no_image"
"Wales","James Botham","no_image"
"Wales","Alex Mann","no_image"
"Wales","Ellis Bevan","no_image"
"Wales","Sam Costelow","no_image"
"Wales","Bryn Bradley","no_image"
"Wales","Louie Hennessey","no_image"
"Wales","Joe Roberts","no_image"
"Wales","Ellis Mee","no_image"
"England","Luke Cowan-Dickie","no_image"
"England","Bevan Rodd","no_image"
"England","Emmanuel Iyogun","no_image"
"England","Alex Coles","no_image"
"England","Arthur Clark","no_image"
"England","Tom Curry","no_image"
"England","Ben Earl","no_image"
"England","Guy Pepper","no_image"
"England","Ollie Lawrence","no_image"
"England","Fraser Dingwall","no_image"
"England","Seb Atkinson","no_image"
"England","Henry Arundell","no_image"
"England","Cadan Murley","no_image"
"England","George Furbank","no_image"
"Belgium","Alexandre Raynier","no_image"
"Belgium","Vincent Tauzia","no_image"
"Belgium","Charlesty Berguet","no_image"
"Belgium","Jean-Baptiste de Clercq","no_image"
"Belgium","Maxime Jadot","no_image"
"Belgium","Basile van Parys","no_image"
"Belgium","Seppe Verelst","no_image"
"Belgium","Bruno Vliegen","no_image"
"Belgium","Gillian Benoy","no_image"
"Belgium","Maurice Fromont","no_image"
"Belgium","Maximilien Hendrickx","no_image"
"Belgium","Jérémie Brasseur","no_image"
"Belgium","Toon Deceuninck","no_image"
"Belgium","Jean-Maurice Decubber","no_image"
"Belgium","Felipe Geraghty","no_image"
"Belgium","William Van Bost","no_image"
"Belgium","Isaac Montoisy","no_image"
"Belgium","Timothé Rifon","no_image"
"Belgium","Hugo De Francq","no_image"
"Belgium","Matias Remue","no_image"
"Belgium","Florian Remue","no_image"
"Belgium","Jens Torfs","no_image"
"Belgium","Maxime Vacquier","no_image"
"Belgium","Dazzy Cornez","no_image"
"Belgium","Lucas Michiels","no_image"
"Belgium","Ervin Muric","no_image"
"Belgium","Thomas Wallraf","no_image"
"Belgium","Siméon Soenen","no_image"
"Hong Kong China","Harry Baron","no_image"
"Hong Kong China","Calum Scott","no_image"
"Hong Kong China","Rory Cinnamond","no_image"
"Hong Kong China","Zacceus Cinnamond","no_image"
"Hong Kong China","Sunia Fameitau","no_image"
"Hong Kong China","Callum McFeat Smith","no_image"
"Hong Kong China","Faizal Solomona-Penesa","no_image"
"Hong Kong China","Dana Fourie","no_image"
"Hong Kong China","Max Murphy","no_image"
"Hong Kong China","Kyle Sullivan","no_image"
"Hong Kong China","Jack Bartlett","no_image"
"Hong Kong China","Lachlan Doheny","no_image"
